"orderRef","status","payMethod","customer","createdAt","amount","amountPaid","site","cartItems"
"Order - 1583501263789","Paid","5e418d921c2bfe2f15f86a5f","5e41cb681c2bfe2f15f86a71",1583501263789,25000,25000,"Okutukutu","[{""prodId"":""5e524af189eaa63531aeb3c6"",""name"":""FIdo Recycles"",""price"":500,""qty"":50,""amount"":25000}]"
"Order - 1583501379417","Paid","5e418d921c2bfe2f15f86a5f","5e41ca171c2bfe2f15f86a70",1583501379417,3500,3500,"Okutukutu","[{""prodId"":""5e4b95b3186081cb5aa9e839"",""name"":""50cl Pure Water"",""price"":70,""qty"":50,""amount"":3500}]"
"Order - 1583501559590","Paid","5e418d921c2bfe2f15f86a5f","5e41cb681c2bfe2f15f86a71",1583501559590,9750,9750,"Okutukutu","[{""prodId"":""5e42abd31e2807574d4bf2c7"",""name"":""19L Fido Dispenser Replace"",""price"":1950,""qty"":5,""amount"":9750}]"
"Order - 1583501625922","Paid","5e418d921c2bfe2f15f86a5f","5e41cb681c2bfe2f15f86a71",1583501625922,130650,130650,"Okutukutu","[{""prodId"":""5e42abd31e2807574d4bf2c7"",""name"":""19L Fido Dispenser Replace"",""price"":1950,""qty"":67,""amount"":130650}]"
"Order - 1583501714330","Paid","5e418d921c2bfe2f15f86a5f","5e41cb681c2bfe2f15f86a71",1583501714330,97500,97500,"Okutukutu","[{""prodId"":""5e42abd31e2807574d4bf2c7"",""name"":""19L Fido Dispenser Replace"",""price"":1950,""qty"":50,""amount"":97500}]"
"Order - 1583580006388","Paid","5e418d9c1c2bfe2f15f86a60","5e4116ea865c751fd4307d4a",1583580006388,3850,3850,"Okutukutu","[{""prodId"":""5e4b95b3186081cb5aa9e839"",""name"":""50cl Pure Water"",""price"":70,""qty"":55,""amount"":3850}]"
"Order - 1583581705598","Paid","5e418d9c1c2bfe2f15f86a60","5e4116ea865c751fd4307d4a",1583581705598,97550,97550,"Okutukutu","[{""prodId"":""5e42abd31e2807574d4bf2c7"",""name"":""19L Fido Dispenser Replace"",""price"":1951,""qty"":50,""amount"":97550}]"
"Order - 1583582136582","Paid","5e418d9c1c2bfe2f15f86a60","5e4116ea865c751fd4307d4a",1583582136582,97550,97550,"Okutukutu","[{""prodId"":""5e42abd31e2807574d4bf2c7"",""name"":""19L Fido Dispenser Replace"",""price"":1951,""qty"":50,""amount"":97550}]"
"Order - 1583643986922","Paid","5e418d9c1c2bfe2f15f86a60","5e41cca13949b0367a05de10",1583643986922,117060,117060,"Okutukutu","[{""prodId"":""5e42abd31e2807574d4bf2c7"",""name"":""19L Fido Dispenser Replace"",""price"":1951,""qty"":60,""amount"":117060}]"
"Order - 1583662026175","Paid","5e418d921c2bfe2f15f86a5f","5e41cca13949b0367a05de10",1583662026175,97550,97550,"Okutukutu","[{""prodId"":""5e42abd31e2807574d4bf2c7"",""name"":""19L Fido Dispenser Replace"",""price"":1951,""qty"":50,""amount"":97550}]"
